State, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Num NR, NR Passed, % NR Passed, % NR,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Num NR Fem, Fem NR Passed, % Fem NR Passed,% Fem NR,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male OtherNum NR Male,Num Male NR, Male NR Passed, % Male NR Passed, % Male NR,
South-Dakota,10,4,40,2,0,0,20,0,0,0,0,3,0,0,30,3,0,0,30,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,0,0,10,1,0,0,10,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,44.44,90,1,0,0,10,0,0,0,0,3,0,0,30,3,0,0,30,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,0,0,10, 
Tennessee,402,231,57.46,23,3,13.04,5.72,25,12,48,6.22,79,45,56.96,19.65,248,159,64.11,61.69,0,0,0,0,3,0,0,0.75,14,5,35.71,3.48,0,0,0,0,10,5,50,2.49,122,67,54.92,30.35,9,2,22.22,2.24,6,3,50,1.49,28,14,50,6.97,73,45,61.64,18.16,0,0,0,0,1,0,0,0.25,4,0,0,1,0,0,0,0,1,0,0,0.25,277,163,58.84,68.91,14,1,7.14,3.48,19,9,47.37,4.73,50,31,62,12.44,173,113,65.32,43.03,0,0,0,0,2,0,0,0.5,10,3,30,2.49,0,0,0,0,9,5,55.56,2.24, 
Texas,7190,4300,59.81,286,100,34.97,3.98,1431,497,34.73,19.9,2741,1976,72.09,38.12,2183,1393,63.81,30.36,5,4,80,0.07,53,27,50.94,0.74,279,172,61.65,3.88,0,0,0,0,212,131,61.79,2.95,1822,1091,59.88,25.34,78,28,35.9,1.08,343,94,27.41,4.77,862,644,74.71,11.99,400,243,60.75,5.56,2,0,0,0.03,10,4,40,0.14,68,45,66.18,0.95,0,0,0,0,59,31,52.54,0.82,5352,3200,59.79,74.44,208,72,34.62,2.89,1086,403,37.11,15.1,1877,1330,70.86,26.11,1774,1145,64.54,24.67,3,0,0,0.04,43,23,53.49,0.6,210,127,60.48,2.92,0,0,0,0,151,98,64.9,2.1, 
Utah,188,142,75.53,0,0,0,0,13,8,61.54,6.91,26,22,84.62,13.83,131,100,76.34,69.68,0,0,0,0,0,0,0,0,11,8,72.73,5.85,0,0,0,0,7,4,57.14,3.72,32,24,75,17.02,0,0,0,0,2,0,0,1.06,8,6,75,4.26,21,16,76.19,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.53,155,117,75.48,82.45,0,0,0,0,11,7,63.64,5.85,18,16,88.89,9.57,109,83,76.15,57.98,0,0,0,0,0,0,0,0,11,8,72.73,5.85,0,0,0,0,6,3,50,3.19, 
Vermont,76,47,61.84,0,0,0,0,0,0,0,0,6,3,50,7.89,57,35,61.4,75,0,0,0,0,0,0,0,0,9,6,66.67,11.84,0,0,0,0,4,0,0,5.26,15,11,73.33,19.74,0,0,0,0,0,0,0,0,1,0,0,1.32,11,7,63.64,14.47,0,0,0,0,0,0,0,0,2,0,0,2.63,0,0,0,0,1,0,0,1.32,60,36,60,78.95,0,0,0,0,0,0,0,0,5,2,40,6.58,45,28,62.22,59.21,0,0,0,0,0,0,0,0,7,4,57.14,9.21,0,0,0,0,3,0,0,3.95, 
Virginia,3577,2342,65.47,203,63,31.03,5.68,299,157,52.51,8.36,1424,1042,73.17,39.81,1254,817,65.15,35.06,5,2,40,0.14,16,10,62.5,0.45,209,126,60.29,5.84,0,0,0,0,167,125,74.85,4.67,959,630,65.69,26.81,62,17,27.42,1.73,60,29,48.33,1.68,470,339,72.13,13.14,255,160,62.75,7.13,1,0,0,0.03,3,0,0,0.08,51,35,68.63,1.43,0,0,0,0,57,48,84.21,1.59,2613,1708,65.37,73.05,141,46,32.62,3.94,238,127,53.36,6.65,954,703,73.69,26.67,998,656,65.73,27.9,3,0,0,0.08,13,9,69.23,0.36,157,90,57.32,4.39,0,0,0,0,109,76,69.72,3.05, 
Washington,2305,1591,69.02,30,13,43.33,1.3,117,55,47.01,5.08,1002,758,75.65,43.47,865,557,64.39,37.53,3,0,0,0.13,15,7,46.67,0.65,147,104,70.75,6.38,0,0,0,0,126,95,75.4,5.47,702,498,70.94,30.46,11,4,36.36,0.48,32,13,40.62,1.39,362,280,77.35,15.7,202,135,66.83,8.76,0,0,0,0,7,3,42.86,0.3,45,32,71.11,1.95,0,0,0,0,43,31,72.09,1.87,1601,1091,68.14,69.46,19,9,47.37,0.82,85,42,49.41,3.69,640,478,74.69,27.77,662,421,63.6,28.72,3,0,0,0.13,8,4,50,0.35,101,71,70.3,4.38,0,0,0,0,83,64,77.11,3.6, 
West-Virginia,119,59,49.58,0,0,0,0,8,2,25,6.72,17,14,82.35,14.29,88,41,46.59,73.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,33.33,5.04,31,13,41.94,26.05,0,0,0,0,0,0,0,0,5,3,60,4.2,25,10,40,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.84,88,46,52.27,73.95,0,0,0,0,8,2,25,6.72,12,11,91.67,10.08,63,31,49.21,52.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40,4.2, 
Wisconsin,775,543,70.06,6,3,50,0.77,28,18,64.29,3.61,118,88,74.58,15.23,558,392,70.25,72,0,0,0,0,8,1,12.5,1.03,29,23,79.31,3.74,0,0,0,0,28,18,64.29,3.61,134,91,67.91,17.29,2,0,0,0.26,9,3,33.33,1.16,26,18,69.23,3.35,79,56,70.89,10.19,0,0,0,0,3,0,0,0.39,8,8,100,1.03,0,0,0,0,7,6,85.71,0.9,641,452,70.51,82.71,4,0,0,0.52,19,15,78.95,2.45,92,70,76.09,11.87,479,336,70.15,61.81,0,0,0,0,5,1,20,0.65,21,15,71.43,2.71,0,0,0,0,21,12,57.14,2.71, 
Wyoming,26,22,84.62,0,0,0,0,1,0,0,3.85,1,0,0,3.85,20,17,85,76.92,0,0,0,0,0,0,0,0,1,0,0,3.85,0,0,0,0,3,0,0,11.54,5,4,80,19.23,0,0,0,0,0,0,0,0,0,0,0,0,5,4,80,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,85.71,80.77,0,0,0,0,1,0,0,3.85,1,0,0,3.85,15,13,86.67,57.69,0,0,0,0,0,0,0,0,1,0,0,3.85,0,0,0,0,3,0,0,11.54, 
